crop,region,rainfall_mm,avg_temp_c,N_kg_ha,P_kg_ha,K_kg_ha,soil_ph,area_acres,yield_quintal_per_acre
Wheat,Uttar Pradesh,875.7,16.1,112.4,71.4,22.1,7.61,6.04,15.29
Rice,Madhya Pradesh,1650.3,34.5,90.9,20.4,19.9,7.08,9.26,16.28
Rice,Maharashtra,1183.6,19.6,42.2,53.9,39.2,5.68,5.9,18.76
Rice,Bihar,715.4,35.3,50.1,89.3,48.9,5.12,0.63,15.85
Wheat,West Bengal,382.2,20.1,131.1,69.9,54.1,6.66,5.79,17.63
Maize,Madhya Pradesh,672.6,30.2,46.5,55.5,35.2,5.43,4.7,16.2
Rice,West Bengal,772.9,36.0,133.6,58.0,60.4,4.93,1.92,17.41
Rice,Punjab,1312.2,39.3,59.7,84.6,41.1,6.13,5.35,19.05
Rice,West Bengal,708.5,23.7,75.4,60.6,35.2,4.8,4.05,16.16
Wheat,Maharashtra,283.9,29.9,62.1,75.2,34.7,7.38,1.37,13.62
Rice,Bihar,1296.6,40.4,136.4,26.4,44.2,5.22,7.47,21.58
Maize,Bihar,878.6,28.4,106.8,91.5,44.9,7.68,8.25,15.36
Wheat,Uttar Pradesh,199.4,11.8,54.9,79.3,41.7,8.08,5.61,11.38
Rice,Uttar Pradesh,643.4,28.3,145.9,42.2,47.8,5.26,3.57,17.91
Rice,Madhya Pradesh,1103.8,25.8,51.1,22.1,31.7,4.72,2.07,16.79
Rice,Bihar,1816.7,35.6,68.5,74.4,26.7,6.55,5.89,16.72
Wheat,Bihar,246.0,13.2,84.4,90.4,22.0,6.04,9.25,11.1
Rice,Uttar Pradesh,1034.8,30.1,142.3,70.5,24.3,4.77,3.39,21.87
Maize,West Bengal,303.1,25.1,123.4,71.8,22.4,6.86,2.8,18.52
Maize,Maharashtra,503.2,21.4,42.3,33.1,27.4,6.99,8.08,16.89
Rice,Madhya Pradesh,1922.9,35.9,180.7,71.3,31.3,6.16,1.26,19.27
Wheat,West Bengal,467.0,12.2,82.9,63.0,27.1,5.95,3.73,16.94
Rice,Punjab,909.4,22.1,71.2,53.9,58.6,5.91,1.03,17.19
Wheat,Punjab,596.9,12.6,174.8,65.9,42.3,5.72,5.4,15.47
Maize,Madhya Pradesh,534.6,31.3,163.9,53.4,55.3,6.74,4.55,14.99
Wheat,Punjab,385.6,22.9,80.8,66.1,23.8,6.55,5.57,16.56
Rice,Maharashtra,2074.0,30.3,41.3,37.2,63.9,7.12,2.5,12.16
Maize,Maharashtra,1039.0,18.6,177.5,65.5,52.0,5.64,3.63,12.98
Rice,Punjab,1239.7,33.7,76.6,89.1,34.4,5.08,1.03,17.93
Wheat,Madhya Pradesh,828.2,12.4,88.1,66.8,64.0,7.77,8.54,13.1
Rice,Madhya Pradesh,872.6,36.0,130.0,89.7,45.6,5.86,7.73,17.75
Rice,West Bengal,1790.3,38.3,109.8,70.0,18.0,6.55,9.64,16.54
Wheat,Punjab,722.6,29.2,79.0,24.0,39.9,7.86,9.73,12.77
Maize,Maharashtra,523.0,30.7,45.5,39.0,35.0,6.48,0.55,16.92
Rice,Bihar,1793.9,31.3,100.3,67.0,41.6,5.0,2.61,21.05
Maize,West Bengal,344.6,28.1,110.3,75.2,38.2,5.92,5.18,17.74
Maize,West Bengal,860.2,33.6,68.7,45.3,53.2,5.5,7.19,15.43
Wheat,Uttar Pradesh,377.5,17.1,96.1,87.5,24.7,6.81,9.92,17.59
Wheat,Bihar,830.3,18.4,171.9,70.3,29.4,5.4,8.25,13.92
Wheat,Madhya Pradesh,852.1,11.6,57.2,69.8,44.8,6.3,5.62,13.48
Rice,Bihar,952.1,33.0,104.6,41.4,64.6,7.0,1.69,18.73
Rice,Uttar Pradesh,643.1,22.6,93.0,87.0,39.8,5.26,1.5,17.34
Rice,Uttar Pradesh,1094.6,33.1,101.9,61.1,40.4,6.36,5.32,26.07
Maize,Uttar Pradesh,1016.8,26.5,105.4,94.4,20.9,7.13,5.16,15.23
Maize,West Bengal,669.3,28.5,163.2,92.3,24.3,7.65,9.82,13.46
Rice,West Bengal,1297.1,43.1,47.8,22.4,43.0,5.18,6.24,17.28
Wheat,Punjab,244.1,23.1,153.4,77.4,18.7,5.81,4.42,14.41
Rice,Punjab,1852.7,28.0,134.9,48.4,38.4,5.97,7.87,21.2
Wheat,Punjab,649.4,12.8,112.3,69.4,17.3,6.19,7.31,18.81
Wheat,Punjab,208.8,29.5,59.6,47.8,45.1,5.77,2.64,11.15
Wheat,Punjab,283.7,30.7,128.5,79.0,15.1,7.51,5.11,13.16
Wheat,Uttar Pradesh,451.1,11.7,98.1,74.8,24.0,6.81,0.85,17.02
Rice,Bihar,787.0,18.8,163.2,41.7,45.6,6.56,1.72,16.04
Maize,Madhya Pradesh,853.0,23.3,142.6,62.9,47.8,5.47,5.65,21.98
Rice,Madhya Pradesh,1952.0,31.5,163.0,47.7,56.2,4.81,3.33,15.16
Rice,Madhya Pradesh,528.6,26.9,41.2,89.7,60.0,4.74,0.67,12.19
Maize,Bihar,670.0,33.0,81.2,72.3,55.2,7.38,9.49,17.35
Maize,West Bengal,503.0,18.3,110.2,39.6,51.5,5.36,2.26,18.8
Rice,West Bengal,1369.9,17.5,131.6,71.0,42.9,5.9,8.19,23.27
Rice,Punjab,1247.7,30.5,177.9,47.0,34.3,6.12,1.72,22.32
Rice,Uttar Pradesh,1923.5,41.8,178.1,74.6,24.3,7.01,9.5,11.76
Wheat,Madhya Pradesh,285.5,19.8,60.6,25.9,19.6,7.01,2.34,12.62
Rice,Madhya Pradesh,1202.2,32.8,111.1,53.5,55.7,6.52,3.74,26.11
Maize,Punjab,384.8,31.4,116.8,91.5,39.2,6.52,9.3,16.49
Wheat,West Bengal,486.2,26.8,47.7,77.7,55.3,5.82,0.86,15.82
Wheat,West Bengal,265.7,12.3,50.5,63.0,55.0,5.92,9.37,14.06
Wheat,Bihar,871.0,26.6,89.1,45.4,37.9,7.22,5.83,15.05
Wheat,Punjab,398.0,25.8,70.6,38.2,61.7,5.36,4.44,12.69
Wheat,Madhya Pradesh,714.6,23.1,78.6,49.5,26.6,5.97,3.57,16.86
Maize,Punjab,461.0,26.5,80.4,27.8,48.4,6.92,8.7,18.48
Maize,Uttar Pradesh,249.7,16.0,106.4,76.6,21.9,4.77,7.43,14.19
Maize,Punjab,856.0,33.2,110.6,101.0,20.3,6.46,5.22,14.74
Rice,Uttar Pradesh,2048.9,22.0,85.4,40.9,41.7,5.91,6.62,13.95
Rice,Madhya Pradesh,1344.5,24.8,147.1,56.8,23.1,6.07,9.51,21.48
Wheat,Madhya Pradesh,737.0,14.3,115.0,42.8,46.5,5.77,8.06,18.76
Rice,Bihar,796.7,26.1,70.5,28.0,25.1,6.92,1.31,14.94
Maize,Madhya Pradesh,971.8,22.2,79.6,67.1,17.6,4.8,4.8,13.19
Rice,Maharashtra,1246.5,34.4,163.1,90.9,45.3,6.88,9.13,18.73
Maize,Punjab,393.1,17.4,165.5,69.8,49.9,7.34,6.09,14.72
Rice,Uttar Pradesh,1017.5,23.4,115.4,46.9,38.5,6.56,3.1,24.49
Wheat,Bihar,659.1,18.0,111.1,40.8,58.4,6.99,5.74,18.29
Rice,Punjab,1305.3,36.8,177.0,80.2,45.7,6.12,6.23,20.5
Maize,West Bengal,933.7,15.0,91.7,65.2,15.5,6.9,2.98,15.09
Maize,Madhya Pradesh,611.3,26.8,115.4,88.9,42.9,5.38,5.6,20.45
Wheat,Uttar Pradesh,699.2,22.5,179.6,26.7,41.9,6.97,3.42,14.71
Rice,Bihar,972.4,34.4,55.7,70.4,56.9,4.94,1.7,19.33
Maize,Maharashtra,235.2,28.9,44.8,72.4,45.5,5.31,4.74,14.64
Rice,Maharashtra,468.3,22.8,57.7,55.8,52.0,6.23,8.59,16.24
Rice,Bihar,672.6,33.5,152.3,78.4,29.8,6.03,5.85,15.42
Wheat,Madhya Pradesh,330.3,12.2,54.4,88.1,54.2,5.87,5.53,13.61
Rice,Punjab,1892.5,18.9,84.6,58.1,31.3,5.85,3.01,15.71
Rice,Bihar,1633.7,24.9,50.0,68.5,14.1,6.35,2.88,18.39
Maize,Punjab,642.6,15.5,145.4,27.6,34.9,6.07,5.28,17.39
Maize,Maharashtra,488.3,21.0,117.5,56.7,52.8,6.3,2.51,24.13
Maize,Bihar,1108.8,31.7,52.4,60.8,60.3,5.34,4.09,12.26
Rice,Madhya Pradesh,1732.1,36.0,146.8,37.4,34.1,4.97,2.77,16.84
Maize,Uttar Pradesh,1025.6,31.6,48.2,91.6,45.2,4.72,4.13,10.98
Rice,Madhya Pradesh,1951.2,31.6,128.9,34.3,54.8,6.2,8.71,19.68
Rice,Bihar,699.7,22.1,156.9,48.3,64.5,5.01,6.71,14.73
Wheat,Uttar Pradesh,576.7,10.7,66.8,86.1,44.8,8.03,3.45,12.72
Wheat,Bihar,849.0,18.8,132.4,58.5,59.4,7.72,2.39,15.37
Maize,Maharashtra,1095.8,22.5,73.6,65.9,24.5,7.07,8.05,13.61
Rice,Punjab,1020.6,21.4,163.8,62.8,20.8,6.39,8.55,17.6
Wheat,Maharashtra,374.4,21.6,77.1,68.7,59.7,5.37,7.97,15.9
Maize,West Bengal,988.7,27.6,124.0,89.5,38.1,6.33,3.11,18.35
Wheat,Bihar,554.5,27.3,63.4,27.2,46.2,7.39,1.0,15.59
Rice,Maharashtra,1958.4,30.1,151.9,33.9,44.8,5.56,6.16,16.22
Rice,Madhya Pradesh,1559.9,36.9,87.2,78.7,17.8,4.7,1.67,16.02
Wheat,Maharashtra,633.3,29.3,84.6,80.2,48.9,5.72,1.7,15.03
Maize,Uttar Pradesh,995.8,19.4,152.4,45.1,23.5,4.89,7.0,12.24
Maize,West Bengal,583.0,20.5,141.1,51.4,55.9,6.08,6.48,21.4
Wheat,Madhya Pradesh,231.5,21.3,57.5,74.9,17.1,6.56,9.47,14.43
Maize,Bihar,786.5,32.6,95.4,82.6,51.0,5.49,9.25,16.65
Rice,Bihar,1128.7,43.0,134.8,63.1,26.1,4.83,8.59,20.78
Wheat,West Bengal,755.4,16.4,70.3,59.0,19.9,5.98,2.08,14.19
Wheat,Madhya Pradesh,521.6,26.5,112.9,32.5,17.0,5.5,2.89,15.08
Wheat,Bihar,623.0,11.3,82.3,82.3,46.0,7.9,4.15,13.02
Wheat,Maharashtra,671.4,13.0,163.1,38.5,64.8,6.31,1.64,14.94
Maize,Punjab,662.9,27.2,40.9,97.9,22.4,5.64,9.5,16.94
Maize,Uttar Pradesh,597.5,25.7,179.8,62.5,17.4,6.77,7.25,18.99
Maize,Bihar,448.9,22.7,103.3,82.2,58.3,5.65,7.23,19.16
Wheat,Bihar,315.7,11.4,138.3,21.5,63.5,6.2,0.56,13.59
Wheat,West Bengal,390.9,14.3,53.3,66.6,25.9,6.9,9.8,15.42
Maize,West Bengal,569.1,22.1,181.5,32.9,21.9,7.33,1.74,15.69
Maize,Bihar,958.3,19.9,108.8,48.7,60.2,5.83,4.26,14.38
Wheat,Maharashtra,851.9,16.4,158.8,83.4,47.2,6.98,1.54,12.28
Rice,Punjab,1012.7,21.7,55.0,26.7,47.6,6.19,5.43,19.09
Wheat,West Bengal,381.1,26.8,155.5,54.8,18.5,7.58,4.37,16.5
Maize,Bihar,503.7,24.4,70.8,73.6,34.5,5.37,0.7,20.38
Maize,Bihar,532.0,17.6,93.6,101.8,41.0,4.85,9.44,16.23
Maize,West Bengal,824.2,28.8,147.2,26.0,20.5,5.36,3.08,15.41
Wheat,Maharashtra,227.7,30.4,166.6,88.4,55.2,6.03,6.02,10.59
Rice,Uttar Pradesh,1991.7,41.3,121.4,61.1,22.5,7.09,2.92,15.99
Maize,Bihar,671.5,33.2,147.8,86.0,47.9,7.41,7.49,17.37
Rice,Madhya Pradesh,1631.2,42.8,69.6,66.1,24.8,4.72,7.71,15.9
Maize,Uttar Pradesh,465.8,30.0,146.8,79.4,49.0,6.25,3.83,18.94
Wheat,Uttar Pradesh,447.4,30.3,54.4,50.1,37.3,5.98,3.15,14.47
Maize,West Bengal,650.1,30.8,51.0,73.1,32.9,5.6,9.46,16.48
Wheat,Punjab,758.6,23.7,106.0,43.5,59.9,7.53,7.32,16.15
Maize,Punjab,696.7,19.3,151.1,82.6,18.9,6.38,9.59,17.91
Wheat,Uttar Pradesh,838.1,25.9,108.0,29.6,47.5,8.05,1.24,13.08
Wheat,Madhya Pradesh,567.2,20.5,131.3,22.5,15.8,6.2,7.04,17.84
Wheat,West Bengal,839.0,26.9,167.9,79.2,63.7,7.08,2.66,11.66
Rice,Bihar,1135.0,39.2,169.1,86.2,42.8,5.77,7.2,17.33
Maize,Maharashtra,419.3,25.3,136.2,102.3,19.3,6.33,9.88,16.46
Rice,Bihar,1648.9,22.6,78.4,70.4,64.0,6.19,1.02,17.87
Rice,Madhya Pradesh,1381.7,20.8,156.2,86.7,22.8,5.82,1.47,16.5
Wheat,Punjab,511.5,28.7,50.8,89.6,15.7,5.76,7.23,13.12
Maize,West Bengal,493.0,19.5,121.7,48.0,20.1,7.04,2.49,18.71
Rice,Maharashtra,1715.5,27.8,44.7,28.2,16.0,5.49,5.21,14.81
Rice,West Bengal,490.4,19.6,169.3,72.9,61.5,5.84,4.43,12.44
Wheat,Uttar Pradesh,180.3,12.6,85.2,73.3,17.4,7.24,6.4,12.97
Maize,Punjab,232.6,29.1,79.1,90.3,48.9,6.63,7.79,14.03
Wheat,Bihar,690.0,21.5,164.4,36.2,34.5,7.61,1.76,13.71
Wheat,West Bengal,855.6,13.7,111.8,61.5,24.7,5.73,7.93,14.22
Wheat,Madhya Pradesh,301.1,26.6,156.9,48.5,45.6,6.46,2.99,15.43
Rice,Uttar Pradesh,1913.4,29.8,107.6,86.4,17.0,5.21,6.06,15.8
Rice,Uttar Pradesh,896.0,26.6,92.5,29.9,32.2,5.78,3.44,19.63
Maize,Madhya Pradesh,674.5,18.5,127.4,99.7,58.7,7.3,3.97,17.67
Maize,Maharashtra,580.1,26.7,75.9,68.9,24.5,7.45,5.34,15.33
Rice,Punjab,407.7,31.0,136.2,22.1,34.5,6.89,6.88,15.13
Rice,Uttar Pradesh,1761.7,35.0,115.6,29.8,24.4,5.12,6.07,16.41
Rice,Madhya Pradesh,934.8,37.8,148.6,79.9,59.7,5.75,7.79,19.37
Wheat,Madhya Pradesh,639.8,30.3,88.3,39.9,33.2,7.62,1.65,13.49
Rice,Madhya Pradesh,853.9,26.2,113.9,51.2,15.1,6.72,9.01,20.33
Rice,Madhya Pradesh,1395.5,38.0,93.6,20.9,40.0,5.93,4.65,21.11
Wheat,West Bengal,511.8,31.1,93.4,69.6,42.0,7.5,8.94,16.27
Maize,Uttar Pradesh,222.2,23.5,170.4,25.4,51.0,5.46,2.58,13.43
Wheat,Bihar,811.8,11.7,95.6,76.8,34.8,7.69,1.45,14.39
Wheat,Madhya Pradesh,498.6,26.2,173.8,57.0,32.1,5.24,6.05,15.21
Rice,Bihar,1153.4,33.7,163.4,27.9,24.0,5.99,3.96,15.47
Maize,Madhya Pradesh,474.9,27.8,72.3,57.4,17.7,6.75,5.62,17.1
Wheat,Punjab,175.2,15.5,56.6,28.5,44.7,7.01,0.93,13.07
Wheat,Maharashtra,293.4,22.3,72.0,50.2,59.3,7.37,6.69,14.02
Wheat,West Bengal,853.3,11.2,136.1,75.5,35.7,5.13,7.03,14.16
Wheat,West Bengal,169.9,27.8,134.2,73.9,50.5,7.7,9.88,15.11
Maize,Bihar,948.0,14.7,117.4,76.8,23.8,5.89,8.0,16.26
Rice,Maharashtra,1835.5,22.1,148.6,45.6,53.9,5.19,2.27,15.78
Wheat,Maharashtra,565.0,19.9,74.1,37.5,23.4,7.09,1.85,14.97
Wheat,West Bengal,831.4,12.2,164.1,71.7,53.6,7.59,5.32,11.99
Maize,Maharashtra,490.8,27.3,44.8,28.5,52.9,6.26,5.8,19.97
Maize,Uttar Pradesh,701.0,33.6,101.7,70.1,60.9,6.14,7.92,17.96
Wheat,Punjab,635.9,11.1,112.6,22.6,48.5,8.05,9.12,15.45
Rice,Bihar,765.2,33.8,63.8,45.8,49.1,5.95,6.17,18.0
Rice,West Bengal,1954.5,29.6,55.3,36.3,34.8,5.48,8.73,17.12
Rice,Uttar Pradesh,1334.7,18.1,152.0,84.6,58.9,6.71,9.93,16.04
Wheat,West Bengal,334.5,23.3,51.0,22.4,17.3,5.49,4.58,13.44
Wheat,Punjab,752.8,12.9,168.0,49.5,51.6,7.93,9.9,12.94
Wheat,Bihar,767.3,15.6,71.6,67.7,34.3,7.73,6.56,14.55
Rice,Maharashtra,1737.9,36.3,40.6,21.9,23.9,4.81,5.55,12.53
Maize,Bihar,412.2,23.3,172.3,90.1,42.5,6.42,8.93,14.88
Maize,Maharashtra,993.9,15.9,50.8,36.4,27.5,6.82,5.56,11.72
Rice,West Bengal,1376.6,30.0,115.5,24.8,59.8,6.93,5.71,19.96
Rice,Bihar,1307.2,31.3,160.8,90.7,19.5,5.35,3.9,17.36
Wheat,Madhya Pradesh,875.9,11.2,136.4,36.8,34.8,7.06,7.27,13.63
Maize,Maharashtra,1086.6,23.0,158.6,91.4,29.9,5.22,3.98,12.42
Wheat,Maharashtra,874.1,11.1,66.7,63.8,54.4,7.88,3.35,11.9
Wheat,West Bengal,663.4,26.9,56.5,55.4,41.1,7.57,3.18,17.68
Maize,Punjab,836.3,32.8,95.3,85.9,15.6,7.17,7.37,16.14
Maize,Uttar Pradesh,546.5,16.6,163.5,25.4,14.2,6.11,1.16,17.11
Maize,Maharashtra,749.9,18.8,100.1,89.4,61.2,7.51,7.15,16.22
Rice,West Bengal,1548.1,39.6,180.7,31.5,54.8,6.87,0.96,15.66
Rice,Madhya Pradesh,490.7,36.9,64.3,50.2,38.8,5.13,1.4,14.79
Rice,Punjab,1668.2,38.9,54.9,24.7,44.3,5.04,8.33,14.39
Rice,Bihar,1277.0,31.2,171.3,64.0,29.9,5.67,1.77,21.83
Rice,Punjab,430.4,41.8,175.2,20.9,52.9,7.08,9.11,11.48
Rice,Bihar,1870.7,18.3,96.3,87.1,16.6,6.53,2.95,13.76
Maize,Bihar,1002.5,20.7,135.4,51.1,48.6,6.53,5.35,15.61
Rice,Punjab,2001.6,40.8,119.2,53.8,37.0,4.82,8.98,18.26
Wheat,Uttar Pradesh,874.5,19.6,53.8,67.3,14.5,7.58,5.49,12.64
Wheat,Maharashtra,309.9,31.2,41.3,36.3,16.1,7.57,6.0,11.77
Wheat,Bihar,282.3,16.0,61.0,48.0,58.5,6.19,1.91,15.16
Rice,Bihar,1190.3,40.6,130.2,64.3,28.9,5.01,9.63,23.3
Maize,West Bengal,441.0,15.7,117.0,53.4,36.2,6.49,3.48,17.42
Wheat,Uttar Pradesh,356.9,25.3,80.7,48.6,41.8,8.06,8.05,15.61
Rice,Bihar,1573.7,43.3,98.5,48.6,61.1,5.28,7.43,20.51
Maize,Punjab,206.2,19.9,114.8,62.8,61.0,6.99,9.28,16.87
Wheat,Uttar Pradesh,427.4,13.2,162.5,78.8,31.9,7.27,5.18,15.48
Maize,Punjab,978.1,32.8,63.2,78.5,36.2,5.54,2.0,12.69
Maize,West Bengal,710.6,18.6,171.4,64.2,60.3,5.86,3.69,16.56
Rice,Punjab,1831.7,42.3,58.0,76.5,41.8,6.02,9.04,15.97
Maize,Bihar,1013.7,21.5,172.7,56.6,51.0,5.27,5.54,15.19
Wheat,Punjab,776.3,23.0,48.2,68.1,28.4,5.32,6.26,12.83
Maize,West Bengal,261.9,21.3,129.2,50.7,53.2,5.25,1.86,15.94
Maize,Bihar,875.8,15.7,111.0,100.9,28.5,7.41,1.94,15.11
Maize,Punjab,386.8,21.3,175.9,70.5,55.2,4.99,3.64,14.87
Rice,Maharashtra,452.9,25.6,69.1,58.9,60.9,6.83,3.41,15.88
Wheat,Bihar,286.4,21.1,85.9,47.9,30.1,5.11,7.04,12.99
Rice,Punjab,968.0,24.6,105.3,32.9,41.0,6.42,5.97,20.14
Wheat,Bihar,836.1,12.9,43.5,75.0,32.5,6.35,8.1,13.76
Maize,Uttar Pradesh,650.3,16.4,163.6,24.8,18.2,7.13,1.74,12.68
Rice,Uttar Pradesh,852.3,24.7,76.2,29.6,62.1,5.67,2.63,16.86
Wheat,Bihar,190.3,30.2,175.8,39.6,46.0,5.74,5.7,10.43
Maize,Bihar,1107.6,33.5,107.3,87.2,37.8,7.29,6.67,16.57
Maize,Madhya Pradesh,706.2,21.9,77.6,100.6,24.1,4.8,1.7,13.51
Rice,Bihar,1715.8,18.1,83.2,82.5,49.2,5.1,5.16,15.0
Maize,Bihar,1094.8,23.5,141.9,58.0,56.9,7.42,2.08,16.63
Rice,Maharashtra,1119.0,38.9,152.6,73.7,64.9,5.86,8.17,18.4
Maize,Bihar,420.1,31.4,135.7,79.0,48.3,6.73,7.6,17.68
Maize,Madhya Pradesh,599.0,31.7,91.4,54.5,32.2,5.77,4.35,17.91
Wheat,West Bengal,875.0,20.4,178.7,56.3,45.7,7.22,5.15,14.18
Wheat,Bihar,407.7,12.8,166.7,55.6,19.1,6.79,6.92,15.66
Wheat,Bihar,275.2,28.5,74.2,31.4,17.6,7.34,2.27,10.63
Maize,Punjab,1119.0,18.1,115.0,54.1,25.1,7.32,9.6,12.6
Maize,Madhya Pradesh,709.5,20.5,154.8,61.2,49.7,7.31,3.35,21.32
Maize,Uttar Pradesh,413.7,22.4,57.6,56.8,37.8,7.27,5.51,16.4
Wheat,Uttar Pradesh,617.2,20.9,171.5,32.2,17.8,7.99,9.08,14.89
Rice,Uttar Pradesh,1173.9,35.7,152.8,64.6,62.1,6.66,4.3,21.64
Rice,Madhya Pradesh,1604.5,31.9,151.9,42.6,57.8,4.94,6.52,17.27
Rice,West Bengal,514.2,22.8,42.5,52.2,46.4,5.52,4.49,17.18
Wheat,West Bengal,497.1,20.0,91.8,67.9,14.7,7.85,1.47,17.45
Rice,Madhya Pradesh,1186.4,28.5,57.0,26.9,25.9,6.75,1.89,16.96
Wheat,Bihar,392.5,15.6,102.6,61.2,32.7,8.14,0.56,18.4
Wheat,Madhya Pradesh,578.2,17.1,165.1,65.6,50.7,7.15,7.35,17.83
Wheat,Bihar,381.1,30.2,58.0,82.8,17.2,6.4,6.5,12.34
Maize,Bihar,422.8,32.4,127.8,56.0,51.3,5.3,1.37,16.03
Maize,Maharashtra,458.7,26.3,143.4,103.4,45.5,6.16,1.76,17.61
Maize,Punjab,521.2,15.5,121.3,71.2,62.5,6.61,0.53,19.18
Maize,West Bengal,933.7,27.8,79.9,57.7,17.5,6.48,8.93,13.64
Wheat,Madhya Pradesh,852.1,25.8,106.6,23.3,15.4,5.54,6.16,12.73
Rice,Madhya Pradesh,452.6,41.5,86.5,70.0,49.4,5.3,1.11,16.15
Rice,Punjab,1434.1,22.2,165.2,34.9,18.6,6.84,3.31,17.19
Rice,Punjab,1665.3,40.0,175.5,33.7,22.4,6.13,4.77,13.4
Wheat,Uttar Pradesh,674.9,29.4,83.3,80.0,29.9,6.84,8.37,14.41
Rice,West Bengal,1011.1,27.3,82.3,43.2,57.9,4.7,4.64,18.11
Wheat,Bihar,629.5,30.7,134.0,21.1,50.0,5.89,8.69,15.85
Wheat,Maharashtra,750.0,30.6,120.8,37.3,46.6,7.98,7.06,12.97
